,org_type,org_code,year,subgroup,population,in_seat_attendance,state_in_seat_attendance,average_daily_attendance,state_average_daily_attendance,School Name
3,school,0332,2016,hi7,,0.908,0.947,,,Walker Jones EC
4,school,0332,2016,female,,0.894,0.935,,,Walker Jones EC
5,school,0332,2016,economy,,0.893,0.928,,,Walker Jones EC
6,school,0332,2016,bl7,,0.892,0.925,,,Walker Jones EC
7,school,0332,2016,all,,0.894,0.934,,,Walker Jones EC
1,school,0333,2016,wh7,,0.976,0.967,,,Watkins ES Capitol Hill Cluster
2,school,0333,2016,sped,,0.951,0.931,,,Watkins ES Capitol Hill Cluster
3,school,0333,2016,mu7,,0.945,0.959,,,Watkins ES Capitol Hill Cluster
4,school,0333,2016,male,,0.962,0.943,,,Watkins ES Capitol Hill Cluster
5,school,0333,2016,hi7,,0.965,0.957,,,Watkins ES Capitol Hill Cluster
6,school,0333,2016,female,,0.961,0.945,,,Watkins ES Capitol Hill Cluster
7,school,0333,2016,economy,,0.947,0.938,,,Watkins ES Capitol Hill Cluster
8,school,0333,2016,bl7,,0.958,0.936,,,Watkins ES Capitol Hill Cluster
9,school,0333,2016,all,,0.962,0.944,,,Watkins ES Capitol Hill Cluster
1,school,0335,2016,sped,,0.922,0.921,,,Wheatley EC
2,school,0335,2016,male,,0.917,0.933,,,Wheatley EC
3,school,0335,2016,lep,,0.95,0.948,,,Wheatley EC
4,school,0335,2016,hi7,,0.939,0.947,,,Wheatley EC
5,school,0335,2016,female,,0.913,0.935,,,Wheatley EC
6,school,0335,2016,economy,,0.915,0.928,,,Wheatley EC
7,school,0335,2016,bl7,,0.915,0.925,,,Wheatley EC
8,school,0335,2016,all,,0.916,0.934,,,Wheatley EC
1,school,0336,2016,wh7,,0.974,0.96,,,West EC
2,school,0336,2016,sped,,0.959,0.921,,,West EC
3,school,0336,2016,mu7,,0.98,0.952,,,West EC
4,school,0336,2016,male,,0.959,0.933,,,West EC
5,school,0336,2016,lep,,0.964,0.948,,,West EC
6,school,0336,2016,hi7,,0.963,0.947,,,West EC
7,school,0336,2016,female,,0.956,0.935,,,West EC
8,school,0336,2016,economy,,0.958,0.928,,,West EC
9,school,0336,2016,bl7,,0.951,0.925,,,West EC
10,school,0336,2016,all,,0.958,0.934,,,West EC
1,school,0338,2016,sped,,0.926,0.921,,,Whittier EC
2,school,0338,2016,male,,0.927,0.933,,,Whittier EC
3,school,0338,2016,lep,,0.946,0.948,,,Whittier EC
4,school,0338,2016,hi7,,0.936,0.947,,,Whittier EC
5,school,0338,2016,female,,0.928,0.935,,,Whittier EC
6,school,0338,2016,economy,,0.928,0.928,,,Whittier EC
7,school,0338,2016,bl7,,0.926,0.925,,,Whittier EC
8,school,0338,2016,all,,0.928,0.934,,,Whittier EC
1,school,0339,2016,wh7,,0.961,0.961,,,J O Wilson ES
2,school,0339,2016,sped,,0.914,0.926,,,J O Wilson ES
3,school,0339,2016,mu7,,0.936,0.953,,,J O Wilson ES
4,school,0339,2016,male,,0.94,0.934,,,J O Wilson ES
5,school,0339,2016,lep,,0.959,0.949,,,J O Wilson ES
6,school,0339,2016,hi7,,0.946,0.948,,,J O Wilson ES
7,school,0339,2016,female,,0.943,0.936,,,J O Wilson ES
8,school,0339,2016,economy,,0.941,0.929,,,J O Wilson ES
9,school,0339,2016,bl7,,0.939,0.926,,,J O Wilson ES
10,school,0339,2016,all,,0.941,0.935,,,J O Wilson ES
1,school,0344,2016,sped,,0.913,0.926,,,King M L ES
2,school,0344,2016,male,,0.902,0.934,,,King M L ES
3,school,0344,2016,female,,0.919,0.936,,,King M L ES
4,school,0344,2016,economy,,0.911,0.929,,,King M L ES
5,school,0344,2016,bl7,,0.91,0.926,,,King M L ES
6,school,0344,2016,all,,0.911,0.935,,,King M L ES
1,school,0347,2016,sped,,0.837,0.908,,,Brookland MS
2,school,0347,2016,male,,0.871,0.928,,,Brookland MS
3,school,0347,2016,lep,,0.899,0.939,,,Brookland MS
4,school,0347,2016,hi7,,0.936,0.942,,,Brookland MS
5,school,0347,2016,female,,0.883,0.931,,,Brookland MS
6,school,0347,2016,economy,,0.877,0.923,,,Brookland MS
7,school,0347,2016,bl7,,0.873,0.922,,,Brookland MS
8,school,0347,2016,all,,0.877,0.929,,,Brookland MS
1,school,0349,2016,sped,,0.918,0.926,,,Dorothy I Height ES
2,school,0349,2016,male,,0.931,0.934,,,Dorothy I Height ES
3,school,0349,2016,lep,,0.936,0.949,,,Dorothy I Height ES
4,school,0349,2016,hi7,,0.925,0.948,,,Dorothy I Height ES
5,school,0349,2016,female,,0.94,0.936,,,Dorothy I Height ES
6,school,0349,2016,economy,,0.935,0.929,,,Dorothy I Height ES
7,school,0349,2016,bl7,,0.94,0.926,,,Dorothy I Height ES
8,school,0349,2016,all,,0.935,0.935,,,Dorothy I Height ES
1,school,0360,2016,wh7,,0.968,0.96,,,Capitol Hill Montessori School at Logan
2,school,0360,2016,sped,,0.961,0.921,,,Capitol Hill Montessori School at Logan
3,school,0360,2016,mu7,,0.927,0.952,,,Capitol Hill Montessori School at Logan
4,school,0360,2016,male,,0.957,0.933,,,Capitol Hill Montessori School at Logan
5,school,0360,2016,female,,0.96,0.935,,,Capitol Hill Montessori School at Logan
6,school,0360,2016,economy,,0.944,0.928,,,Capitol Hill Montessori School at Logan
7,school,0360,2016,bl7,,0.956,0.925,,,Capitol Hill Montessori School at Logan
8,school,0360,2016,all,,0.959,0.934,,,Capitol Hill Montessori School at Logan
1,school,0370,2016,sped,,0.914,0.926,,,Langley ES
2,school,0370,2016,male,,0.917,0.934,,,Langley ES
3,school,0370,2016,hi7,,0.931,0.948,,,Langley ES
4,school,0370,2016,female,,0.929,0.936,,,Langley ES
5,school,0370,2016,economy,,0.921,0.929,,,Langley ES
6,school,0370,2016,bl7,,0.92,0.926,,,Langley ES
7,school,0370,2016,all,,0.921,0.935,,,Langley ES
1,school,0402,2016,sped,,0.898,0.767,,,Benjamin Banneker HS
2,school,0402,2016,male,,0.956,0.826,,,Benjamin Banneker HS
3,school,0402,2016,hi7,,0.955,0.831,,,Benjamin Banneker HS
4,school,0402,2016,female,,0.941,0.837,,,Benjamin Banneker HS
5,school,0402,2016,economy,,0.945,0.819,,,Benjamin Banneker HS
6,school,0402,2016,bl7,,0.943,0.823,,,Benjamin Banneker HS
7,school,0402,2016,as7,,0.955,0.906,,,Benjamin Banneker HS
8,school,0402,2016,all,,0.945,0.832,,,Benjamin Banneker HS
1,school,0404,2016,sped,,0.935,0.921,,,Browne EC
2,school,0404,2016,male,,0.939,0.933,,,Browne EC
3,school,0404,2016,lep,,0.968,0.948,,,Browne EC
4,school,0404,2016,hi7,,0.944,0.947,,,Browne EC
5,school,0404,2016,female,,0.938,0.935,,,Browne EC
6,school,0404,2016,economy,,0.938,0.928,,,Browne EC
7,school,0404,2016,bl7,,0.938,0.925,,,Browne EC
8,school,0404,2016,all,,0.939,0.934,,,Browne EC
1,school,0405,2016,wh7,,0.953,0.956,,,Deal MS
2,school,0405,2016,sped,,0.934,0.908,,,Deal MS
3,school,0405,2016,mu7,,0.955,0.946,,,Deal MS
4,school,0405,2016,male,,0.95,0.928,,,Deal MS
5,school,0405,2016,lep,,0.93,0.939,,,Deal MS
6,school,0405,2016,hi7,,0.94,0.942,,,Deal MS
7,school,0405,2016,female,,0.953,0.931,,,Deal MS
8,school,0405,2016,economy,,0.942,0.923,,,Deal MS
9,school,0405,2016,bl7,,0.953,0.922,,,Deal MS
10,school,0405,2016,as7,,0.959,0.962,,,Deal MS
11,school,0405,2016,all,,0.952,0.929,,,Deal MS
1,school,0407,2016,sped,,0.895,0.908,,,Eliot Hine MS
2,school,0407,2016,male,,0.898,0.928,,,Eliot Hine MS
3,school,0407,2016,female,,0.905,0.931,,,Eliot Hine MS
4,school,0407,2016,economy,,0.901,0.923,,,Eliot Hine MS
5,school,0407,2016,bl7,,0.902,0.922,,,Eliot Hine MS
6,school,0407,2016,all,,0.902,0.929,,,Eliot Hine MS
1,school,0409,2016,wh7,,0.948,0.96,,,School Without Walls at Francis Stevens
2,school,0409,2016,sped,,0.922,0.921,,,School Without Walls at Francis Stevens
3,school,0409,2016,mu7,,0.949,0.952,,,School Without Walls at Francis Stevens
4,school,0409,2016,male,,0.939,0.933,,,School Without Walls at Francis Stevens
5,school,0409,2016,lep,,0.95,0.948,,,School Without Walls at Francis Stevens
6,school,0409,2016,hi7,,0.937,0.947,,,School Without Walls at Francis Stevens
7,school,0409,2016,female,,0.931,0.935,,,School Without Walls at Francis Stevens
8,school,0409,2016,economy,,0.921,0.928,,,School Without Walls at Francis Stevens
9,school,0409,2016,bl7,,0.929,0.925,,,School Without Walls at Francis Stevens
10,school,0409,2016,as7,,0.934,0.962,,,School Without Walls at Francis Stevens
11,school,0409,2016,all,,0.935,0.934,,,School Without Walls at Francis Stevens
1,school,0413,2016,sped,,0.905,0.908,,,Hart MS
2,school,0413,2016,male,,0.903,0.928,,,Hart MS
3,school,0413,2016,female,,0.926,0.931,,,Hart MS
4,school,0413,2016,economy,,0.914,0.923,,,Hart MS
5,school,0413,2016,bl7,,0.913,0.922,,,Hart MS
6,school,0413,2016,all,,0.914,0.929,,,Hart MS
1,school,0416,2016,sped,,0.939,0.908,,,Johnson John Hayden MS
2,school,0416,2016,male,,0.945,0.928,,,Johnson John Hayden MS
3,school,0416,2016,female,,0.944,0.931,,,Johnson John Hayden MS
4,school,0416,2016,economy,,0.945,0.923,,,Johnson John Hayden MS
5,school,0416,2016,bl7,,0.944,0.922,,,Johnson John Hayden MS
6,school,0416,2016,all,,0.945,0.929,,,Johnson John Hayden MS
1,school,0417,2016,sped,,0.88,0.908,,,Kramer MS
2,school,0417,2016,male,,0.916,0.928,,,Kramer MS
3,school,0417,2016,female,,0.913,0.931,,,Kramer MS
4,school,0417,2016,economy,,0.914,0.923,,,Kramer MS
5,school,0417,2016,bl7,,0.914,0.922,,,Kramer MS
6,school,0417,2016,all,,0.915,0.929,,,Kramer MS
0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,MacFarland MS
1,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,MacFarland MS
1,school,0421,2016,sped,,0.847,0.908,,,Kelly Miller MS
2,school,0421,2016,male,,0.869,0.928,,,Kelly Miller MS
3,school,0421,2016,lep,,0.938,0.939,,,Kelly Miller MS
4,school,0421,2016,hi7,,0.916,0.942,,,Kelly Miller MS
5,school,0421,2016,female,,0.882,0.931,,,Kelly Miller MS
6,school,0421,2016,economy,,0.875,0.923,,,Kelly Miller MS
7,school,0421,2016,bl7,,0.874,0.922,,,Kelly Miller MS
8,school,0421,2016,all,,0.875,0.929,,,Kelly Miller MS
1,school,0427,2016,sped,,0.9,0.908,,,Sousa MS
2,school,0427,2016,male,,0.91,0.928,,,Sousa MS
3,school,0427,2016,female,,0.913,0.931,,,Sousa MS
4,school,0427,2016,economy,,0.911,0.923,,,Sousa MS
5,school,0427,2016,bl7,,0.911,0.922,,,Sousa MS
6,school,0427,2016,all,,0.912,0.929,,,Sousa MS
1,school,0428,2016,wh7,,0.962,0.956,,,Stuart Hobson MS Capitol Hill Cluster
2,school,0428,2016,sped,,0.924,0.908,,,Stuart Hobson MS Capitol Hill Cluster
3,school,0428,2016,male,,0.947,0.928,,,Stuart Hobson MS Capitol Hill Cluster
4,school,0428,2016,female,,0.948,0.931,,,Stuart Hobson MS Capitol Hill Cluster
5,school,0428,2016,economy,,0.938,0.923,,,Stuart Hobson MS Capitol Hill Cluster
6,school,0428,2016,bl7,,0.945,0.922,,,Stuart Hobson MS Capitol Hill Cluster
7,school,0428,2016,all,,0.947,0.929,,,Stuart Hobson MS Capitol Hill Cluster
1,school,0433,2016,sped,,0.876,0.908,,,Jefferson Middle School Academy
2,school,0433,2016,male,,0.906,0.928,,,Jefferson Middle School Academy
3,school,0433,2016,hi7,,0.902,0.942,,,Jefferson Middle School Academy
4,school,0433,2016,female,,0.909,0.931,,,Jefferson Middle School Academy
5,school,0433,2016,economy,,0.907,0.923,,,Jefferson Middle School Academy
6,school,0433,2016,bl7,,0.906,0.922,,,Jefferson Middle School Academy
7,school,0433,2016,all,,0.908,0.929,,,Jefferson Middle School Academy
1,school,0435,2016,sped,,0.839,0.908,,,McKinley MS
2,school,0435,2016,male,,0.882,0.928,,,McKinley MS
3,school,0435,2016,hi7,,0.861,0.942,,,McKinley MS
4,school,0435,2016,female,,0.868,0.931,,,McKinley MS
5,school,0435,2016,economy,,0.875,0.923,,,McKinley MS
6,school,0435,2016,bl7,,0.875,0.922,,,McKinley MS
7,school,0435,2016,all,,0.875,0.929,,,McKinley MS
0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Ron Brown College Preparatory High School
1,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Ron Brown College Preparatory High School
1,school,0442,2016,wh7,,0.838,0.935,,,Columbia Heights EC
2,school,0442,2016,sped,,0.817,0.832,,,Columbia Heights EC
3,school,0442,2016,male,,0.837,0.872,,,Columbia Heights EC
4,school,0442,2016,lep,,0.844,0.863,,,Columbia Heights EC
5,school,0442,2016,hi7,,0.847,0.878,,,Columbia Heights EC
6,school,0442,2016,female,,0.84,0.879,,,Columbia Heights EC
7,school,0442,2016,economy,,0.839,0.863,,,Columbia Heights EC
8,school,0442,2016,bl7,,0.821,0.867,,,Columbia Heights EC
9,school,0442,2016,as7,,0.871,0.932,,,Columbia Heights EC
10,school,0442,2016,all,,0.839,0.875,,,Columbia Heights EC
1,school,0450,2016,sped,,0.553,0.767,,,Anacostia HS
2,school,0450,2016,male,,0.592,0.826,,,Anacostia HS
3,school,0450,2016,female,,0.603,0.837,,,Anacostia HS
4,school,0450,2016,economy,,0.597,0.819,,,Anacostia HS
5,school,0450,2016,bl7,,0.596,0.823,,,Anacostia HS
6,school,0450,2016,all,,0.6,0.832,,,Anacostia HS
1,school,0452,2016,sped,,0.598,0.767,,,Ballou HS
2,school,0452,2016,male,,0.655,0.826,,,Ballou HS
3,school,0452,2016,hi7,,0.704,0.831,,,Ballou HS
4,school,0452,2016,female,,0.649,0.837,,,Ballou HS
5,school,0452,2016,economy,,0.652,0.819,,,Ballou HS
6,school,0452,2016,bl7,,0.651,0.823,,,Ballou HS
7,school,0452,2016,all,,0.655,0.832,,,Ballou HS
1,school,0454,2016,bl7,,0.717,0.867,,,Cardozo EC
2,school,0454,2016,as7,,0.917,0.932,,,Cardozo EC
3,school,0454,2016,all,,0.749,0.875,,,Cardozo EC
4,school,0454,2016,wh7,,0.791,0.935,,,Cardozo EC
5,school,0454,2016,sped,,0.688,0.832,,,Cardozo EC
6,school,0454,2016,male,,0.737,0.872,,,Cardozo EC
7,school,0454,2016,lep,,0.787,0.863,,,Cardozo EC
8,school,0454,2016,hi7,,0.769,0.878,,,Cardozo EC
9,school,0454,2016,female,,0.763,0.879,,,Cardozo EC
10,school,0454,2016,economy,,0.747,0.863,,,Cardozo EC
1,school,0455,2016,sped,,0.771,0.767,,,Coolidge HS
2,school,0455,2016,male,,0.815,0.826,,,Coolidge HS
3,school,0455,2016,lep,,0.853,0.814,,,Coolidge HS
4,school,0455,2016,hi7,,0.811,0.831,,,Coolidge HS
5,school,0455,2016,female,,0.811,0.837,,,Coolidge HS
6,school,0455,2016,economy,,0.813,0.819,,,Coolidge HS
7,school,0455,2016,bl7,,0.815,0.823,,,Coolidge HS
8,school,0455,2016,all,,0.816,0.832,,,Coolidge HS
1,school,0456,2014,sped,,0.33,0.83,,,Roosevelt STAY
2,school,0456,2014,male,,0.6,0.74,,,Roosevelt STAY
3,school,0456,2014,lep,,0.38,0.73,,,Roosevelt STAY
4,school,0456,2014,hi7,,0.61,0.74,,,Roosevelt STAY
5,school,0456,2014,female,,0.58,0.72,,,Roosevelt STAY
6,school,0456,2014,economy,,0.56,0.73,,,Roosevelt STAY
7,school,0456,2014,bl7,,0.59,0.72,,,Roosevelt STAY
8,school,0456,2014,all,,0.59,0.73,,,Roosevelt STAY
9,school,0456,2013,all,,0.66,,,,Roosevelt STAY
1,school,0457,2016,sped,,0.768,0.767,,,Eastern HS
2,school,0457,2016,male,,0.774,0.826,,,Eastern HS
3,school,0457,2016,lep,,0.882,0.814,,,Eastern HS
4,school,0457,2016,hi7,,0.855,0.831,,,Eastern HS
5,school,0457,2016,female,,0.742,0.837,,,Eastern HS
6,school,0457,2016,economy,,0.758,0.819,,,Eastern HS
7,school,0457,2016,bl7,,0.755,0.823,,,Eastern HS
8,school,0457,2016,all,,0.759,0.832,,,Eastern HS
1,school,0458,2016,wh7,,0.949,0.908,,,McKinley Technology HS
2,school,0458,2016,sped,,0.938,0.767,,,McKinley Technology HS
3,school,0458,2016,mu7,,0.935,0.892,,,McKinley Technology HS
4,school,0458,2016,male,,0.929,0.826,,,McKinley Technology HS
5,school,0458,2016,hi7,,0.947,0.831,,,McKinley Technology HS
6,school,0458,2016,female,,0.923,0.837,,,McKinley Technology HS
7,school,0458,2016,economy,,0.925,0.819,,,McKinley Technology HS
8,school,0458,2016,bl7,,0.923,0.823,,,McKinley Technology HS
9,school,0458,2016,all,,0.925,0.832,,,McKinley Technology HS
1,school,0459,2016,sped,,0.758,0.767,,,Roosevelt HS
2,school,0459,2016,male,,0.755,0.826,,,Roosevelt HS
3,school,0459,2016,lep,,0.762,0.814,,,Roosevelt HS
4,school,0459,2016,hi7,,0.721,0.831,,,Roosevelt HS
5,school,0459,2016,female,,0.76,0.837,,,Roosevelt HS
6,school,0459,2016,economy,,0.757,0.819,,,Roosevelt HS
7,school,0459,2016,bl7,,0.778,0.823,,,Roosevelt HS
8,school,0459,2016,all,,0.759,0.832,,,Roosevelt HS
1,school,0462,2014,sped,,0.42,0.76,,,Ballou STAY
2,school,0462,2014,male,,0.7,0.77,,,Ballou STAY
3,school,0462,2014,hi7,,0.77,0.77,,,Ballou STAY
4,school,0462,2014,female,,0.74,0.77,,,Ballou STAY
5,school,0462,2014,economy,,0.56,0.75,,,Ballou STAY
6,school,0462,2014,bl7,,0.73,0.76,,,Ballou STAY
7,school,0462,2014,all,,0.73,0.77,,,Ballou STAY
8,school,0462,2013,all,,0.82,,,,Ballou STAY
1,school,0463,2016,wh7,,0.889,0.908,,,Wilson HS
2,school,0463,2016,sped,,0.808,0.767,,,Wilson HS
3,school,0463,2016,mu7,,0.889,0.892,,,Wilson HS
4,school,0463,2016,male,,0.855,0.826,,,Wilson HS
5,school,0463,2016,lep,,0.838,0.814,,,Wilson HS
6,school,0463,2016,hi7,,0.826,0.831,,,Wilson HS
7,school,0463,2016,female,,0.852,0.837,,,Wilson HS
8,school,0463,2016,economy,,0.809,0.819,,,Wilson HS
9,school,0463,2016,bl7,,0.834,0.823,,,Wilson HS
10,school,0463,2016,as7,,0.893,0.906,,,Wilson HS
11,school,0463,2016,all,,0.853,0.832,,,Wilson HS
1,school,0464,2016,sped,,0.692,0.767,,,Woodson H D HS
2,school,0464,2016,male,,0.737,0.826,,,Woodson H D HS
3,school,0464,2016,female,,0.722,0.837,,,Woodson H D HS
4,school,0464,2016,economy,,0.73,0.819,,,Woodson H D HS
5,school,0464,2016,bl7,,0.73,0.823,,,Woodson H D HS
6,school,0464,2016,all,,0.732,0.832,,,Woodson H D HS
1,school,0466,2016,wh7,,0.929,0.908,,,School Without Walls HS
2,school,0466,2016,mu7,,0.931,0.892,,,School Without Walls HS
3,school,0466,2016,male,,0.932,0.826,,,School Without Walls HS
4,school,0466,2016,hi7,,0.927,0.831,,,School Without Walls HS
5,school,0466,2016,female,,0.922,0.837,,,School Without Walls HS
6,school,0466,2016,economy,,0.916,0.819,,,School Without Walls HS
7,school,0466,2016,bl7,,0.92,0.823,,,School Without Walls HS
8,school,0466,2016,as7,,0.935,0.906,,,School Without Walls HS
9,school,0466,2016,all,,0.926,0.832,,,School Without Walls HS
1,school,0467,2016,sped,,0.595,0.767,,,Dunbar HS
2,school,0467,2016,male,,0.689,0.826,,,Dunbar HS
3,school,0467,2016,lep,,0.621,0.814,,,Dunbar HS
4,school,0467,2016,hi7,,0.673,0.831,,,Dunbar HS
5,school,0467,2016,female,,0.686,0.837,,,Dunbar HS
6,school,0467,2016,economy,,0.687,0.819,,,Dunbar HS
7,school,0467,2016,bl7,,0.688,0.823,,,Dunbar HS
8,school,0467,2016,all,,0.69,0.832,,,Dunbar HS
1,school,0471,2016,wh7,,0.929,0.908,,,Duke Ellington School of the Arts
2,school,0471,2016,sped,,0.884,0.767,,,Duke Ellington School of the Arts
3,school,0471,2016,mu7,,0.911,0.892,,,Duke Ellington School of the Arts
4,school,0471,2016,male,,0.913,0.826,,,Duke Ellington School of the Arts
5,school,0471,2016,hi7,,0.903,0.831,,,Duke Ellington School of the Arts
6,school,0471,2016,female,,0.905,0.837,,,Duke Ellington School of the Arts
7,school,0471,2016,economy,,0.907,0.819,,,Duke Ellington School of the Arts
8,school,0471,2016,bl7,,0.905,0.823,,,Duke Ellington School of the Arts
9,school,0471,2016,as7,,0.946,0.906,,,Duke Ellington School of the Arts
10,school,0471,2016,all,,0.908,0.832,,,Duke Ellington School of the Arts
1,school,0474,2016,sped,,0.556,0.59,,,Washington Metropolitan HS
2,school,0474,2016,male,,0.609,0.587,,,Washington Metropolitan HS
3,school,0474,2016,female,,0.544,0.626,,,Washington Metropolitan HS
4,school,0474,2016,economy,,0.579,0.606,,,Washington Metropolitan HS
5,school,0474,2016,bl7,,0.571,0.609,,,Washington Metropolitan HS
6,school,0474,2016,all,,0.587,0.607,,,Washington Metropolitan HS
1,school,0478,2016,sped,,0.834,0.767,,,Phelps Architecture Construction and Engineering HS
2,school,0478,2016,male,,0.871,0.826,,,Phelps Architecture Construction and Engineering HS
3,school,0478,2016,lep,,0.901,0.814,,,Phelps Architecture Construction and Engineering HS
4,school,0478,2016,hi7,,0.817,0.831,,,Phelps Architecture Construction and Engineering HS
5,school,0478,2016,female,,0.86,0.837,,,Phelps Architecture Construction and Engineering HS
6,school,0478,2016,economy,,0.867,0.819,,,Phelps Architecture Construction and Engineering HS
7,school,0478,2016,bl7,,0.868,0.823,,,Phelps Architecture Construction and Engineering HS
8,school,0478,2016,all,,0.867,0.832,,,Phelps Architecture Construction and Engineering HS
1,school,0480,2015,sped,,0.89,0.766,,,Inspiring Youth Program
2,school,0480,2015,male,,0.911,0.702,,,Inspiring Youth Program
3,school,0480,2015,bl7,,0.907,0.66,,,Inspiring Youth Program
4,school,0480,2015,all,,0.914,0.68,,,Inspiring Youth Program
1,school,0861,2015,sped,,1,0.766,,,Youth Services Center
2,school,0861,2015,male,,1,0.702,,,Youth Services Center
3,school,0861,2015,hi7,,1,0.728,,,Youth Services Center
4,school,0861,2015,female,,1,0.655,,,Youth Services Center
5,school,0861,2015,bl7,,1,0.66,,,Youth Services Center
6,school,0861,2015,all,,1,0.68,,,Youth Services Center
1,school,0884,2016,sped,,0.532,0.59,,,Luke Moore Alternative HS
2,school,0884,2016,male,,0.534,0.587,,,Luke Moore Alternative HS
3,school,0884,2016,hi7,,0.531,0.565,,,Luke Moore Alternative HS
4,school,0884,2016,female,,0.518,0.626,,,Luke Moore Alternative HS
5,school,0884,2016,economy,,0.526,0.606,,,Luke Moore Alternative HS
6,school,0884,2016,bl7,,0.525,0.609,,,Luke Moore Alternative HS
7,school,0884,2016,all,,0.53,0.607,,,Luke Moore Alternative HS
1,school,0947,2015,sped,,0.654,0.766,,,CHOICE Academy at Wash Met
2,school,0947,2015,male,,0.687,0.702,,,CHOICE Academy at Wash Met
3,school,0947,2015,female,,0.662,0.655,,,CHOICE Academy at Wash Met
4,school,0947,2015,bl7,,0.683,0.66,,,CHOICE Academy at Wash Met
5,school,0947,2015,all,,0.68,0.68,,,CHOICE Academy at Wash Met
1,school,1137,2016,sped,,0.872,0.905,,,AppleTree Early Learning Center PCS Oklahoma Avenue
2,school,1137,2016,male,,0.833,0.914,,,AppleTree Early Learning Center PCS Oklahoma Avenue
3,school,1137,2016,lep,,0.95,0.929,,,AppleTree Early Learning Center PCS Oklahoma Avenue
4,school,1137,2016,female,,0.881,0.916,,,AppleTree Early Learning Center PCS Oklahoma Avenue
5,school,1137,2016,economy,,0.857,0.908,,,AppleTree Early Learning Center PCS Oklahoma Avenue
6,school,1137,2016,bl7,,0.855,0.905,,,AppleTree Early Learning Center PCS Oklahoma Avenue
7,school,1137,2016,all,,0.857,0.915,,,AppleTree Early Learning Center PCS Oklahoma Avenue
1,school,0140,2016,wh7,,0.934,0.95,,,AppleTree Early Learning Center PCS Columbia Heights
2,school,0140,2016,sped,,0.907,0.905,,,AppleTree Early Learning Center PCS Columbia Heights
3,school,0140,2016,male,,0.898,0.914,,,AppleTree Early Learning Center PCS Columbia Heights
4,school,0140,2016,lep,,0.893,0.929,,,AppleTree Early Learning Center PCS Columbia Heights
5,school,0140,2016,hi7,,0.864,0.924,,,AppleTree Early Learning Center PCS Columbia Heights
6,school,0140,2016,female,,0.881,0.916,,,AppleTree Early Learning Center PCS Columbia Heights
7,school,0140,2016,economy,,0.87,0.908,,,AppleTree Early Learning Center PCS Columbia Heights
8,school,0140,2016,bl7,,0.879,0.905,,,AppleTree Early Learning Center PCS Columbia Heights
9,school,0140,2016,all,,0.89,0.915,,,AppleTree Early Learning Center PCS Columbia Heights
1,school,0141,2016,male,,0.871,0.914,,,AppleTree Early Learning Center PCS Southwest
2,school,0141,2016,lep,,0.911,0.929,,,AppleTree Early Learning Center PCS Southwest
3,school,0141,2016,female,,0.881,0.916,,,AppleTree Early Learning Center PCS Southwest
4,school,0141,2016,economy,,0.869,0.908,,,AppleTree Early Learning Center PCS Southwest
5,school,0141,2016,bl7,,0.873,0.905,,,AppleTree Early Learning Center PCS Southwest
6,school,0141,2016,all,,0.876,0.915,,,AppleTree Early Learning Center PCS Southwest
1,school,3072,2016,sped,,0.806,0.905,,,AppleTree Early Learning Center PCS Southeast
2,school,3072,2016,male,,0.856,0.914,,,AppleTree Early Learning Center PCS Southeast
3,school,3072,2016,female,,0.836,0.916,,,AppleTree Early Learning Center PCS Southeast
4,school,3072,2016,economy,,0.847,0.908,,,AppleTree Early Learning Center PCS Southeast
5,school,3072,2016,bl7,,0.845,0.905,,,AppleTree Early Learning Center PCS Southeast
6,school,3072,2016,all,,0.847,0.915,,,AppleTree Early Learning Center PCS Southeast
1,school,3073,2016,wh7,,0.937,0.95,,,AppleTree Early Learning Center PCS Lincoln Park
2,school,3073,2016,male,,0.887,0.914,,,AppleTree Early Learning Center PCS Lincoln Park
3,school,3073,2016,female,,0.929,0.916,,,AppleTree Early Learning Center PCS Lincoln Park
4,school,3073,2016,economy,,0.881,0.908,,,AppleTree Early Learning Center PCS Lincoln Park
5,school,3073,2016,bl7,,0.896,0.905,,,AppleTree Early Learning Center PCS Lincoln Park
6,school,3073,2016,all,,0.911,0.915,,,AppleTree Early Learning Center PCS Lincoln Park
1,school,0142,2016,wh7,,0.933,0.96,,,Bridges PCS
2,school,0142,2016,sped,,0.899,0.923,,,Bridges PCS
3,school,0142,2016,male,,0.916,0.931,,,Bridges PCS
4,school,0142,2016,lep,,0.924,0.947,,,Bridges PCS
5,school,0142,2016,hi7,,0.921,0.945,,,Bridges PCS
6,school,0142,2016,female,,0.912,0.933,,,Bridges PCS
7,school,0142,2016,economy,,0.907,0.926,,,Bridges PCS
8,school,0142,2016,bl7,,0.897,0.923,,,Bridges PCS
9,school,0142,2016,all,,0.914,0.932,,,Bridges PCS
1,school,1207,2016,hi7,,0.887,0.831,,,Capital City PCS High School
2,school,1207,2016,female,,0.885,0.837,,,Capital City PCS High School
3,school,1207,2016,economy,,0.887,0.819,,,Capital City PCS High School
4,school,1207,2016,bl7,,0.888,0.823,,,Capital City PCS High School
5,school,1207,2016,as7,,0.92,0.906,,,Capital City PCS High School
